week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits,competition_digital_competition-nestle_total_spends,competition_digital_competition-others_total_spends,competition_ooh_competition-nestle_total_spends,competition_ooh_competition-others_total_spends,competition_press_competition-nestle_total_spends,competition_press_competition-others_total_spends,competition_tv_competition-nestle_total_spends,competition_tv_competition-others_total_spends,macroeconomic_total_total_total_cci,macroeconomic_total_total_total_holiday,macroeconomic_total_total_total_livebirths,macroeconomic_total_total_total_lockdownflag,macroeconomic_total_total_total_population,macroeconomic_total_total_total_unemploymentrate,macroeconomic_total_total_total_weeklycases,macroeconomic_total_total_total_weeklydeath,digital_catchuptv_bledina_product_spends,digital_dataretailers_bledina_product_spends,digital_keywordtargeting_bledina_product_spends,digital_programmatic_bledina_product_spends,digital_social_bledina_product_spends,press_product_bledina_product_spends,tv_product_bledina_product_spends,promo_total_bledina_bledina_spends,retail_total_bledina_product_volume,retail_total_bledina_product_dvm,retail_total_bledina_product_price,competition_retail_competition_nonorganic_dvm,competition_retail_competition_nonorganic_price,Sales
06-08-2018,15317.69789,0,811.2011439,0,0.314055177,18487.79776,3571.61,2208.438922,0,8142.05,0,0,0,0,0,0,0,0,125754,57438,67260,8129.032258,451.6129032,1580.645161,225.8064516,2935.483871,7451.612903,302580.6452,56903.22581,96,0,63860,0,64769000,8.7,0,0,0,0,0,27.62704211,0,0,0,6976.273867,934640.3561,61.70056442,5.993650353,51.67556572,4.876779919,5601907.5
13-08-2018,13342.58686,0.002487603,709.00442,0,0,19409.8532,3595.45,10503.33499,0,0,0,0,0,0,0,0,0,0,65385,0,59376,8129.032258,451.6129032,1580.645161,225.8064516,2935.483871,7451.612903,302580.6452,56903.22581,96,1,63860,0,64769000,8.7,0,0,0,0,0,0.172485604,0,0,0,34755.90024,878747.0392,60.63269024,5.993087049,49.83908089,4.849808468,5266407.5
20-08-2018,11379.18664,0,575.3584377,0,0,17705.99804,3621.46,12466.04455,0,0,0,0,0,0,0,0,0,0,21838,0,52505,8129.032258,451.6129032,1580.645161,225.8064516,2935.483871,7451.612903,302580.6452,56903.22581,96,0,63860,0,64769000,8.7,0,0,0,0,0,0.145294751,0,0,0,36234.85628,871373.9283,58.41318237,5.956119792,48.39632062,4.804472332,5190007.5
27-08-2018,596.353661,0,0.010521212,0,0.597577513,0.661638505,3500.43,0.260444475,0,0,0,0,0,0,0,0,0,0,9242,0,51014,6006.451613,3855.913978,1129.032258,227.9569892,2096.774194,21655.91398,228529.0323,45445.16129,95.14285714,0,63281.14286,0,64773285.71,8.7,0,0,0,0,0,0.01478916,1.713753213,0,0,12641.17497,949891.9566,59.61085187,5.977926185,48.37760734,4.821187578,5678384
03-09-2018,503.5892429,0,0.005260606,0,2123.765175,0,3292.12,0,0,1889.1,0,0,0,0,0,0,0,0,63382,0,62000,700,12366.66667,0,233.3333333,0,57166.66667,43400,16800,93,0,61834,0,64784000,8.7,0,0,0,0,0,0.025899485,0.003990032,0,0,11748.96617,929877.0544,60.04293691,6.022822021,49.09341826,4.874975537,5600484
10-09-2018,600.4836073,0,0,0,12477.0587,0,3541.58,0,0,1889.1,0,0,0,0,0,0,0,0,69754,0,75952,700,12366.66667,0,233.3333333,0,57166.66667,43400,16800,93,0,61834,0,64784000,8.7,0,0,0,0,0,0.068424414,0,0,0,17426.99365,823158.505,58.04804438,6.006235701,49.02369432,4.840715676,4944084
17-09-2018,416.6986115,0.001441105,0,0,13323.09371,0.068316911,3545.32,0.130222237,0,1889.1,0,0,0,0,0,0,0,0,40097,0,75545,700,12366.66667,0,233.3333333,0,57166.66667,43400,16800,93,0,61834,0,64784000,8.7,0,0,0,0,0,0.01478916,0,0,0,17644.01563,797069.9491,57.71447661,6.024043442,48.48868722,4.804184987,4801584
24-09-2018,7.021292595,0,0,0,2076.082415,0.059161796,1865.1,0,0,2179.75,0,0,0,0,0,0,0,0,67682,48718,55008,700,12366.66667,0,233.3333333,0,57166.66667,43400,16800,93,0,61834,0,64784000,8.7,0,0,0,0,0,0.01478916,0,0,0,21801.51563,883938.5785,60.518042,6.080721139,53.63951305,4.833001786,5374984
01-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,63606,0,46252,0,27774.19355,0,225.8064516,0,77451.6129,6774.193548,299193.5484,94,0,63588,0,64798000,8.4,0,0,0,0,0,0,3750.439995,0,0,69994.8258,974852.4149,57.22457688,5.93314425,51.02402273,4.797069391,5783940
08-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,73876,0,47242,0,27774.19355,0,225.8064516,0,77451.6129,6774.193548,299193.5484,94,0,63588,0,64798000,8.4,0,0,0,0,0,0,3112.02,8223.75,0,8532.21774,828716.7167,57.67634078,6.038661824,48.58965715,4.800454561,5004340
